canton_id;canton;municipality_id;municipality;registered_voters;cast_ballots;participation_rate;blank_votes;invalid_votes;valid_ballots;yes;no;yes_perc
11;Solothurn;2585;Walterswil (SO);580;216;37.2;2;0;214;138;76;64.5
11;Solothurn;2586;Wangen bei Olten;3'319;1'602;48.3;10;1;1'591;804;787;50.5
11;Solothurn;2601;Solothurn;11'604;6'671;57.5;58;5;6'608;2'184;4'424;33.1
11;Solothurn;2611;B„rschwil;652;318;48.8;1;0;317;184;133;58
11;Solothurn;2612;Beinwil (SO);212;143;67.5;0;0;143;79;64;55.2
11;Solothurn;2613;Breitenbach;2'496;1'112;44.6;7;1;1'104;687;417;62.2
11;Solothurn;2614;Bsserach;1'652;815;49.3;2;1;812;504;308;62.1
11;Solothurn;2615;Erschwil;682;394;57.8;1;0;393;242;151;61.6
11;Solothurn;2616;Fehren;471;229;48.6;1;0;228;127;101;55.7
11;Solothurn;2617;Grindel;397;189;47.6;0;0;189;132;57;69.8
11;Solothurn;2618;Himmelried;721;396;54.9;3;0;393;216;177;55
11;Solothurn;2619;Kleinltzel;976;515;52.8;2;0;513;303;210;59.1
11;Solothurn;2620;Meltingen;507;303;59.8;0;0;303;191;112;63
11;Solothurn;2621;Nunningen;1'509;850;56.3;5;2;843;537;306;63.7
11;Solothurn;2622;Zullwil;454;202;44.5;0;0;202;131;71;64.9
12;Basel-Stadt;2701;Basel;91'340;51'684;56.6;557;16;51'111;19'762;31'349;38.7
12;Basel-Stadt;2702;Bettingen;709;461;65;2;0;459;240;219;52.3
12;Basel-Stadt;2703;Riehen;13'022;8'044;61.8;97;4;7'943;4'086;3'857;51.4
13;Basel-Landschaft;2761;Aesch (BL);6'604;2'994;45.3;21;17;2'956;1'656;1'300;56
13;Basel-Landschaft;2762;Allschwil;13'149;6'485;49.3;57;202;6'226;3'264;2'962;52.4
13;Basel-Landschaft;2763;Arlesheim;6'291;3'477;55.3;32;100;3'345;1'434;1'911;42.9
13;Basel-Landschaft;2764;Biel-Benken;2'487;1'348;54.2;9;15;1'324;725;599;54.8
13;Basel-Landschaft;2765;Binningen;9'848;5'434;55.2;55;53;5'326;2'590;2'736;48.6
13;Basel-Landschaft;2766;Birsfelden;6'278;2'690;42.8;23;95;2'572;1'422;1'150;55.3
13;Basel-Landschaft;2767;Bottmingen;4'270;2'494;58.4;17;66;2'411;1'213;1'198;50.3
13;Basel-Landschaft;2768;Ettingen;3'786;2'325;61.4;16;41;2'268;1'320;948;58.2
13;Basel-Landschaft;2769;Mnchenstein;7'658;3'714;48.5;28;62;3'624;1'724;1'900;47.6
13;Basel-Landschaft;2770;Muttenz;12'030;5'711;47.5;51;41;5'619;3'010;2'609;53.6
13;Basel-Landschaft;2771;Oberwil (BL);7'304;3'630;49.7;28;72;3'530;1'844;1'686;52.2
13;Basel-Landschaft;2772;Pfeffingen;1'690;948;56.1;8;14;926;531;395;57.3
13;Basel-Landschaft;2773;Reinach (BL);12'506;6'703;53.6;56;181;6'466;3'549;2'917;54.9
13;Basel-Landschaft;2774;Sch”nenbuch;1'073;588;54.8;8;3;577;331;246;57.4
13;Basel-Landschaft;2775;Therwil;6'978;3'391;48.6;21;84;3'286;1'758;1'528;53.5
13;Basel-Landschaft;2781;Blauen;536;276;51.5;4;0;272;158;114;58.1
13;Basel-Landschaft;2782;Brislach;1'236;506;40.9;2;5;499;348;151;69.7
13;Basel-Landschaft;2783;Burg im Leimental;215;108;50.2;0;0;108;65;43;60.2
13;Basel-Landschaft;2784;Dittingen;540;238;44.1;3;9;226;114;112;50.4
13;Basel-Landschaft;2785;Duggingen;1'030;489;47.5;3;6;480;275;205;57.3
13;Basel-Landschaft;2786;Grellingen;1'172;519;44.3;10;9;500;292;208;58.4
13;Basel-Landschaft;2787;Laufen;3'681;1'725;46.9;3;8;1'714;915;799;53.4
13;Basel-Landschaft;2788;Liesberg;836;399;47.7;1;0;398;281;117;70.6
13;Basel-Landschaft;2789;Nenzlingen;326;165;50.6;1;5;159;112;47;70.4
13;Basel-Landschaft;2790;Roggenburg;233;99;42.5;0;0;99;71;28;71.7
13;Basel-Landschaft;2791;R”schenz;1'409;698;49.5;5;4;689;409;280;59.4
13;Basel-Landschaft;2792;Wahlen;1'083;489;45.2;2;1;486;327;159;67.3
13;Basel-Landschaft;2793;Zwingen;1'571;591;37.6;1;15;575;354;221;61.6
13;Basel-Landschaft;2821;Arisdorf;1'250;565;45.2;4;14;547;325;222;59.4
13;Basel-Landschaft;2822;Augst;697;339;48.6;1;1;337;191;146;56.7
13;Basel-Landschaft;2823;Bubendorf;3'066;1'587;51.8;10;25;1'552;820;732;52.8
13;Basel-Landschaft;2824;Frenkendorf;3'673;1'641;44.7;10;29;1'602;829;773;51.7
13;Basel-Landschaft;2825;Fllinsdorf;2'767;1'623;58.7;17;27;1'579;935;644;59.2
13;Basel-Landschaft;2826;Giebenach;700;294;42;1;1;292;188;104;64.4
13;Basel-Landschaft;2827;Hersberg;258;128;49.6;0;1;127;81;46;63.8
13;Basel-Landschaft;2828;Lausen;3'314;1'576;47.6;16;32;1'528;844;684;55.2
13;Basel-Landschaft;2829;Liestal;9'209;4'431;48.1;23;66;4'342;1'925;2'417;44.3
13;Basel-Landschaft;2830;Lupsingen;1'044;577;55.3;5;4;568;300;268;52.8
13;Basel-Landschaft;2831;Pratteln;8'352;3'354;40.2;25;61;3'268;1'814;1'454;55.5
13;Basel-Landschaft;2832;Ramlinsburg;543;299;55.1;0;6;293;144;149;49.1
13;Basel-Landschaft;2833;Seltisberg;1'022;626;61.3;1;7;618;325;293;52.6
13;Basel-Landschaft;2834;Ziefen;1'174;607;51.7;4;5;598;289;309;48.3
13;Basel-Landschaft;2841;Anwil;420;184;43.8;4;1;179;114;65;63.7
13;Basel-Landschaft;2842;B”ckten;573;316;55.1;3;3;310;159;151;51.3
13;Basel-Landschaft;2843;Buckten;491;247;50.3;1;0;246;135;111;54.9
13;Basel-Landschaft;2844;Buus;813;362;44.5;2;1;359;211;148;58.8
13;Basel-Landschaft;2845;Diepflingen;508;224;44.1;0;6;218;144;74;66.1
13;Basel-Landschaft;2846;Gelterkinden;4'241;2'087;49.2;20;18;2'049;1'018;1'031;49.7
13;Basel-Landschaft;2847;H„felfingen;192;102;53.1;1;0;101;71;30;70.3
13;Basel-Landschaft;2848;Hemmiken;211;97;46;0;1;96;55;41;57.3
13;Basel-Landschaft;2849;Itingen;1'426;710;49.8;2;4;704;381;323;54.1
13;Basel-Landschaft;2850;K„nerkinden;421;203;48.2;0;1;202;122;80;60.4
13;Basel-Landschaft;2851;Kilchberg (BL);121;79;65.3;2;4;73;28;45;38.4
13;Basel-Landschaft;2852;L„ufelfingen;950;451;47.5;2;2;447;273;174;61.1
13;Basel-Landschaft;2853;Maisprach;699;479;68.5;3;3;473;277;196;58.6
13;Basel-Landschaft;2854;Nusshof;188;104;55.3;0;0;104;54;50;51.9
13;Basel-Landschaft;2855;Oltingen;376;219;58.2;4;1;214;102;112;47.7
13;Basel-Landschaft;2856;Ormalingen;1'669;756;45.3;7;0;749;451;298;60.2
13;Basel-Landschaft;2857;Rickenbach (BL);460;239;52;1;5;233;130;103;55.8
13;Basel-Landschaft;2858;Rothenfluh;605;289;47.8;1;1;287;174;113;60.6
13;Basel-Landschaft;2859;Rmlingen;270;130;48.1;1;0;129;79;50;61.2
13;Basel-Landschaft;2860;Rnenberg;619;339;54.8;4;3;332;190;142;57.2
13;Basel-Landschaft;2861;Sissach;4'698;2'393;50.9;21;22;2'350;1'071;1'279;45.6
13;Basel-Landschaft;2862;Tecknau;485;212;43.7;1;1;210;130;80;61.9
13;Basel-Landschaft;2863;Tenniken;713;297;41.7;4;5;288;143;145;49.7
13;Basel-Landschaft;2864;Thrnen;921;404;43.9;5;8;391;253;138;64.7
13;Basel-Landschaft;2865;Wenslingen;557;319;57.3;1;2;316;172;144;54.4
13;Basel-Landschaft;2866;Wintersingen;495;245;49.5;0;0;245;149;96;60.8
13;Basel-Landschaft;2867;Wittinsburg;334;178;53.3;1;1;176;106;70;60.2
13;Basel-Landschaft;2868;Zeglingen;386;206;53.4;2;1;203;111;92;54.7
13;Basel-Landschaft;2869;Zunzgen;1'791;870;48.6;9;10;851;494;357;58
13;Basel-Landschaft;2881;Arboldswil;445;239;53.7;1;4;234;158;76;67.5
